date.time,unit,value
11/2/2019 0:43,C,20.093
11/2/2019 4:43,C,18.09
11/2/2019 8:43,C,12.077
11/2/2019 12:43,C,8.566
11/2/2019 16:43,C,8.064
11/2/2019 20:43,C,21.094
11/3/2019 0:43,C,22.094
11/3/2019 3:43,C,22.094
11/3/2019 7:43,C,24.095
11/3/2019 11:43,C,21.594
11/3/2019 15:43,C,21.594
11/3/2019 19:43,C,23.095
11/3/2019 23:43,C,24.596
11/4/2019 3:43,C,23.095
11/4/2019 7:43,C,21.594
11/4/2019 11:43,C,9.067
11/4/2019 15:43,C,-2.988
11/4/2019 19:43,C,2.541
11/4/2019 23:43,C,2.541
11/5/2019 3:43,C,2.541
11/5/2019 7:43,C,2.541
11/5/2019 11:43,C,2.541
11/5/2019 15:43,C,2.541
11/5/2019 19:43,C,2.541
11/5/2019 23:43,C,2.541
11/6/2019 3:43,C,2.541
11/6/2019 7:43,C,2.541
11/6/2019 11:43,C,2.038
11/6/2019 15:43,C,2.038
11/6/2019 19:43,C,2.038
11/6/2019 23:43,C,2.038
11/7/2019 3:43,C,2.038
11/7/2019 7:43,C,2.038
11/7/2019 11:43,C,2.038
11/7/2019 15:43,C,1.536
11/7/2019 19:43,C,1.536
11/7/2019 23:43,C,1.536
11/8/2019 3:43,C,1.536
11/8/2019 7:43,C,1.536
11/8/2019 11:43,C,1.034
11/8/2019 15:43,C,1.034
11/8/2019 19:43,C,1.034
11/8/2019 23:43,C,1.034
11/9/2019 3:43,C,1.034
11/9/2019 7:43,C,1.034
11/9/2019 11:43,C,1.034
11/9/2019 15:43,C,1.034
11/9/2019 19:43,C,1.536
11/9/2019 23:43,C,1.536
11/10/2019 3:43,C,1.536
11/10/2019 7:43,C,1.536
11/10/2019 11:43,C,1.034
11/10/2019 15:43,C,1.034
11/10/2019 19:43,C,1.034
11/10/2019 23:43,C,1.034
11/11/2019 3:43,C,1.034
11/11/2019 7:43,C,1.034
11/11/2019 11:43,C,0.531
11/11/2019 15:43,C,0.531
11/11/2019 19:43,C,0.531
11/11/2019 23:43,C,0.531
11/12/2019 3:43,C,0.531
11/12/2019 7:43,C,0.028
11/12/2019 11:43,C,0.028
11/12/2019 15:43,C,0.028
11/12/2019 19:43,C,0.028
11/12/2019 23:43,C,0.028
11/13/2019 3:43,C,0.028
11/13/2019 7:43,C,0.028
11/13/2019 11:43,C,0.028
11/13/2019 15:43,C,0.028
11/13/2019 19:43,C,0.028
11/13/2019 23:43,C,0.028
11/14/2019 3:43,C,0.028
11/14/2019 7:43,C,0.028
11/14/2019 11:43,C,0.028
11/14/2019 15:43,C,0.028
11/14/2019 19:43,C,0.028
11/14/2019 23:43,C,0.028
11/15/2019 3:43,C,0.028
11/15/2019 7:43,C,0.028
11/15/2019 11:43,C,0.028
11/15/2019 15:43,C,0.028
11/15/2019 19:43,C,0.028
11/15/2019 23:43,C,0.028
11/16/2019 3:43,C,0.028
11/16/2019 7:43,C,0.028
11/16/2019 11:43,C,0.028
11/16/2019 15:43,C,0.028
11/16/2019 19:43,C,0.028
11/16/2019 23:43,C,0.028
11/17/2019 3:43,C,0.028
11/17/2019 7:43,C,0.028
11/17/2019 11:43,C,0.028
11/17/2019 15:43,C,0.028
11/17/2019 19:43,C,0.028
11/17/2019 23:43,C,0.028
11/18/2019 3:43,C,0.028
11/18/2019 7:43,C,0.531
11/18/2019 11:43,C,0.531
11/18/2019 15:43,C,0.531
11/18/2019 19:43,C,0.531
11/18/2019 23:43,C,0.531
11/19/2019 3:43,C,0.531
11/19/2019 7:43,C,0.531
11/19/2019 11:43,C,0.531
11/19/2019 15:43,C,0.531
11/19/2019 19:43,C,0.531
11/19/2019 23:43,C,0.531
11/20/2019 3:43,C,0.531
11/20/2019 7:43,C,0.531
11/20/2019 11:43,C,0.531
11/20/2019 15:43,C,0.531
11/20/2019 19:43,C,1.034
11/20/2019 23:43,C,1.034
11/21/2019 3:43,C,1.034
11/21/2019 7:43,C,1.034
11/21/2019 11:43,C,1.034
11/21/2019 15:43,C,1.034
11/21/2019 19:43,C,1.034
11/21/2019 23:43,C,1.034
11/22/2019 3:43,C,1.034
11/22/2019 7:43,C,1.034
11/22/2019 11:43,C,1.034
11/22/2019 15:43,C,1.034
11/22/2019 19:43,C,1.034
11/22/2019 23:43,C,1.034
11/23/2019 3:43,C,1.034
11/23/2019 7:43,C,1.034
11/23/2019 11:43,C,1.034
11/23/2019 15:43,C,1.034
11/23/2019 19:43,C,1.034
11/23/2019 23:43,C,1.034
11/24/2019 3:43,C,1.034
11/24/2019 7:43,C,1.034
11/24/2019 11:43,C,1.034
11/24/2019 15:43,C,1.034
11/24/2019 19:43,C,1.034
11/24/2019 23:43,C,1.034
11/25/2019 3:43,C,1.034
11/25/2019 7:43,C,1.034
11/25/2019 11:43,C,1.034
11/25/2019 15:43,C,1.034
11/25/2019 19:43,C,1.034
11/25/2019 23:43,C,1.034
11/26/2019 3:43,C,1.034
11/26/2019 7:43,C,1.034
11/26/2019 11:43,C,1.034
11/26/2019 15:43,C,1.034
11/26/2019 19:43,C,1.034
11/26/2019 23:43,C,1.034
11/27/2019 3:43,C,1.034
11/27/2019 7:43,C,1.034
11/27/2019 11:43,C,1.034
11/27/2019 15:43,C,1.034
11/27/2019 19:43,C,1.034
11/27/2019 23:43,C,1.034
11/28/2019 3:43,C,1.034
11/28/2019 7:43,C,1.034
11/28/2019 11:43,C,1.034
11/28/2019 15:43,C,1.034
11/28/2019 19:43,C,1.034
11/28/2019 23:43,C,1.034
11/29/2019 3:43,C,1.034
11/29/2019 7:43,C,1.034
11/29/2019 11:43,C,1.034
11/29/2019 15:43,C,1.034
11/29/2019 19:43,C,1.034
11/29/2019 23:43,C,1.034
11/30/2019 3:43,C,1.034
11/30/2019 7:43,C,1.034
11/30/2019 11:43,C,1.034
11/30/2019 15:43,C,1.034
11/30/2019 19:43,C,1.034
11/30/2019 23:43,C,1.034
12/1/2019 3:43,C,1.034
12/1/2019 7:43,C,1.034
12/1/2019 11:43,C,1.034
12/1/2019 15:43,C,1.034
12/1/2019 19:43,C,1.034
12/1/2019 23:43,C,1.034
12/2/2019 3:43,C,1.034
12/2/2019 7:43,C,1.034
12/2/2019 11:43,C,1.034
12/2/2019 15:43,C,1.034
12/2/2019 19:43,C,0.531
12/2/2019 23:43,C,0.531
12/3/2019 3:43,C,1.034
12/3/2019 7:43,C,0.531
12/3/2019 11:43,C,1.034
12/3/2019 15:43,C,0.531
12/3/2019 19:43,C,1.034
12/3/2019 23:43,C,0.531
12/4/2019 3:43,C,0.531
12/4/2019 7:43,C,1.034
12/4/2019 11:43,C,1.034
12/4/2019 15:43,C,1.034
12/4/2019 19:43,C,1.034
12/4/2019 23:43,C,1.034
12/5/2019 3:43,C,1.034
12/5/2019 7:43,C,1.034
12/5/2019 11:43,C,1.034
12/5/2019 15:43,C,1.034
12/5/2019 19:43,C,1.034
12/5/2019 23:43,C,1.034
12/6/2019 3:43,C,1.034
12/6/2019 7:43,C,1.034
